variable x	variable x count			lockin1 x	lockin1 y	lockin1 r	lockin1 phi	lockin2 x	lockin2 y	lockin2 r	lockin2 phi	lockin3 x	lockin3 y	lockin3 r	lockin3 phi	smu1 meas	


5.0	0			0.000360133	-0.000276567	0.00045407	-37.5	-0.02553	0.00232889	0.0256349	174.786	0.00210907	0.000370743	0.00214149	9.972	-1.714667e-11
5.01	1			0.000353696	-0.000272157	0.000446202	-37.566	-0.0255243	0.00232317	0.0256273	174.792	0.00214721	0.000368597	0.00217868	9.744	-2.146051e-11
5.02	2			0.000337603	-0.000272753	0.000433924	-38.922	-0.0255338	0.00232317	0.0256368	174.798	0.00228669	0.000355246	0.00231411	8.838	-1.928267e-11
5.03	3			0.000338556	-0.000273587	0.000435235	-38.928	-0.0255376	0.00232317	0.0256406	174.804	0.00238396	0.000346424	0.002409	8.268	-1.82356e-11
5.04	4			0.000332357	-0.00027168	0.000429275	-39.246	-0.0255147	0.00231363	0.0256177	174.816	0.00235464	0.000348808	0.00238015	8.43	-1.75236e-11
5.05	5			0.00033343	-0.000271561	0.00042999	-39.156	-0.0254976	0.00230981	0.0256006	174.822	0.00236847	0.000346424	0.0023935	8.322	-1.76911e-11
5.06	6			0.000323655	-0.000271561	0.00042236	-39.978	-0.0254804	0.002306	0.0255834	174.828	0.00236513	0.000342133	0.00238968	8.238	-1.865445e-11
5.07	7			0.000283482	-0.000268461	0.000390412	-43.422	-0.0254499	0.00230218	0.025551	174.828	0.00228168	0.000347139	0.00230815	8.652	-2.141864e-11
5.08	8			0.000328304	-0.000270607	0.000425341	-39.486	-0.0254327	0.00229456	0.0255357	174.84	0.00228788	0.000346186	0.00231387	8.604	-2.070666e-11
5.09	9			0.000348212	-0.000270726	0.000441076	-37.848	-0.0254155	0.00228883	0.0255166	174.852	0.00223853	0.000348808	0.00226547	8.856	-2.137678e-11
5.1	10			0.000355126	-0.000272395	0.000447633	-37.47	-0.0253927	0.00228311	0.0254937	174.864	0.00212409	0.000355722	0.00215365	9.51	-2.07904e-11
5.11	11			0.000354292	-0.000272753	0.000447037	-37.578	-0.0253774	0.00227548	0.0254766	174.87	0.00202753	0.000363113	0.00205995	10.158	-2.363839e-11
5.12	12			0.000358941	-0.000272991	0.000450971	-37.248	-0.0253545	0.00226976	0.0254556	174.882	0.00192238	0.00037122	0.00195791	10.932	-2.062291e-11
5.13	13			0.00036669	-0.000274422	0.000458004	-36.792	-0.0253602	0.00226785	0.0254594	174.888	0.00183035	0.000374796	0.00186849	11.574	-2.141865e-11
5.14	14			0.000374796	-0.000275018	0.000464799	-36.264	-0.0253392	0.00226404	0.0254403	174.894	0.00177766	0.000379087	0.00181771	12.042	-1.710478e-11
5.15	15			0.000389101	-0.000275614	0.00047672	-35.304	-0.0253412	0.00226213	0.0254422	174.894	0.00171138	0.000386478	0.00175453	12.732	-2.137678e-11
5.16	16			0.00039232	-0.000276329	0.000479819	-35.154	-0.0253087	0.00225832	0.025406	174.894	0.00161505	0.000394108	0.0016625	13.716	-1.68954e-11
5.17	17			0.000401856	-0.000277879	0.000488523	-34.65	-0.0252916	0.00225641	0.0253907	174.9	0.00154258	0.00039673	0.00159288	14.424	-2.246573e-11
5.18	18			0.000406625	-0.000279548	0.000493411	-34.494	-0.0252992	0.00225641	0.0253984	174.9	0.00149871	0.00040126	0.0015514	14.994	-2.342899e-11
5.19	19			0.000391008	-0.000280024	0.000480892	-35.592	-0.0252877	0.00225641	0.0253869	174.9	0.00146294	0.000401976	0.0015173	15.366	-2.108359e-11
5.2	20			0.000378611	-0.00027764	0.000469567	-36.24	-0.0252782	0.00225641	0.0253774	174.9	0.00142837	0.000407936	0.00148536	15.948	-2.120924e-11
5.21	21			0.000425698	-0.000282051	0.000510696	-33.516	-0.0252897	0.00225641	0.0253888	174.894	0.00140024	0.000410797	0.00145937	16.35	-1.961772e-11
5.22	22			0.000446917	-0.000282886	0.000528816	-32.322	-0.0252877	0.00225641	0.0253869	174.9	0.00137831	0.000411989	0.00143863	16.644	-2.133488e-11
5.23	23			0.000451328	-0.000285627	0.000534061	-32.316	-0.0252954	0.00226022	0.0253946	174.888	0.00137473	0.000411751	0.00143505	16.674	-1.668598e-11
5.24	24			0.00046766	-0.0002867	0.000548486	-31.494	-0.0252897	0.00226022	0.0253907	174.888	0.00136686	0.000414135	0.00142837	16.854	-2.09579e-11
5.25	25			0.000482084	-0.000288131	0.000561599	-30.852	-0.0252897	0.00226404	0.0253907	174.882	0.00135923	0.000415804	0.00142122	17.016	-1.836126e-11
