variable x	variable x count			lockin1 x	lockin1 y	lockin1 r	lockin1 phi	lockin2 x	lockin2 y	lockin2 r	lockin2 phi	lockin3 x	lockin3 y	lockin3 r	lockin3 phi	lockin4 x	lockin4 y	lockin4 r	lockin4 phi	smu1 meas	


1.0	0			-2.11225e-06	-2.06419e-05	2.07425e-05	-95.838	0.000653986	7.03338e-06	0.000653986	0.618	0.00571921	-0.000259878	0.00572494	-2.598	0.00507358	-0.000299932	0.00508264	-3.378	-2.146051e-11
1.005	1			-1.65031e-06	-2.2676e-05	2.27318e-05	-94.152	0.000890139	-5.24524e-06	0.000890139	-0.336	0.0059543	-0.000269892	0.00596049	-2.592	0.00507501	-0.000300886	0.00508359	-3.39	-1.475936e-11
1.01	2			-2.71948e-06	-2.28548e-05	2.30112e-05	-96.78	0.0011375	-1.77623e-05	0.00113762	-0.894	0.00621083	-0.00028372	0.00621703	-2.616	0.00507358	-0.000300886	0.00508264	-3.39	-1.522009e-11
1.015	3			-5.62522e-07	-2.30373e-05	2.3041e-05	-91.392	0.00126005	-2.34843e-05	0.00126017	-1.068	0.00632527	-0.000287535	0.00633195	-2.598	0.00507501	-0.000300886	0.00508407	-3.39	-1.978519e-11
1.02	4			-9.16425e-07	-2.39835e-05	2.39984e-05	-92.178	0.00126935	-2.51533e-05	0.00126971	-1.134	0.00633624	-0.000289442	0.00634292	-2.616	0.00507596	-0.000301363	0.00508502	-3.396	-1.991086e-11
1.025	5			4.98074e-06	-2.49298e-05	2.54215e-05	-78.696	0.00126971	-2.57493e-05	0.00126994	-1.158	0.00633672	-0.000289442	0.00634339	-2.61	0.00508359	-0.000301363	0.00509265	-3.39	-1.940831e-11
1.03	6			7.39473e-06	-2.49484e-05	2.60175e-05	-73.488	0.00126541	-2.51533e-05	0.00126565	-1.14	0.00633767	-0.000288965	0.00634435	-2.61	0.00508979	-0.000302317	0.00509885	-3.402	-2.120919e-11
1.035	7			1.66857e-05	-2.51533e-05	3.01824e-05	-56.436	0.00125457	-2.4438e-05	0.00125492	-1.11	0.0063372	-0.000289442	0.00634387	-2.616	0.00511077	-0.000302793	0.00511983	-3.39	-1.651842e-11
1.04	8			2.20091e-05	-2.62709e-05	3.42692e-05	-50.04	0.00124765	-2.52725e-05	0.00124789	-1.158	0.00633815	-0.000290396	0.00634483	-2.622	0.00512269	-0.000303747	0.00513127	-3.39	-2.196306e-11
1.045	9			3.80056e-05	-2.66397e-05	4.64136e-05	-35.028	0.00121916	-2.24115e-05	0.00121928	-1.05	0.00633958	-0.000289442	0.00634626	-2.61	0.0051637	-0.000307085	0.00517276	-3.402	-1.840307e-11
1.05	10			4.41747e-05	-2.77684e-05	5.21729e-05	-32.148	0.00118352	-1.95504e-05	0.00118364	-0.948	0.00633958	-0.000289442	0.00634626	-2.61	0.00521329	-0.000310423	0.00522235	-3.408	-2.003649e-11
1.055	11			4.50986e-05	-2.84725e-05	5.33352e-05	-32.262	0.00114346	-1.84776e-05	0.00114358	-0.924	0.00634006	-0.000289919	0.00634673	-2.616	0.00525382	-0.000313284	0.00526288	-3.408	-2.217253e-11
