variable x	variable x count			lockin1 x	lockin1 y	lockin1 r	lockin1 phi	lockin2 x	lockin2 y	lockin2 r	lockin2 phi	lockin3 x	lockin3 y	lockin3 r	lockin3 phi	lockin4 x	lockin4 y	lockin4 r	lockin4 phi	smu1 meas	


0.0	0			1.86508e-05	-7.39474e-07	1.86675e-05	-2.268	1.95653e-05	1.79187e-06	1.96473e-05	5.238	7.32768e-06	5.93256e-07	7.35189e-06	4.626	7.35655e-06	-2.70737e-06	7.83807e-06	-20.202	-1.961766e-11
0.01	1			1.89209e-05	-7.37611e-07	1.89358e-05	-2.226	1.9584e-05	2.37302e-06	1.97255e-05	6.918	7.58099e-06	4.09784e-07	7.59217e-06	3.102	7.74959e-06	-1.9381e-06	7.98894e-06	-14.034	-1.777483e-11
0.02	2			1.75965e-05	-7.48787e-07	1.76133e-05	-2.436	1.82578e-05	2.41773e-06	1.8418e-05	7.548	7.89488e-06	6.55655e-07	7.92189e-06	4.746	6.78471e-06	-2.30597e-06	7.16562e-06	-18.768	-1.970142e-11
0.03	3			1.86769e-05	-4.2841e-07	1.86824e-05	-1.308	1.92226e-05	1.86638e-06	1.9312e-05	5.544	6.67947e-06	1.26009e-06	6.79775e-06	10.686	6.86295e-06	-1.34391e-06	6.99333e-06	-11.076	-1.764925e-11
0.04	4			1.76971e-05	-7.84177e-07	1.77139e-05	-2.532	1.92487e-05	2.05637e-06	1.93567e-05	6.096	6.7158e-06	1.68384e-06	6.92348e-06	14.082	6.39728e-06	-1.36346e-06	6.54071e-06	-12.03	-2.137673e-11
0.05	5			1.7332e-05	-4.93605e-07	1.73376e-05	-1.632	1.88203e-05	1.39699e-06	1.88724e-05	4.254	7.37517e-06	2.51458e-08	7.37517e-06	0.198	7.47762e-06	-1.95672e-06	7.7291e-06	-14.664	-2.271696e-11
0.06	6			1.73469e-05	-5.15956e-07	1.73544e-05	-1.698	1.87458e-05	2.16441e-06	1.88724e-05	6.594	7.42546e-06	1.28616e-06	7.53629e-06	9.828	6.76329e-06	-2.11877e-06	7.08739e-06	-17.388	-2.133487e-11
0.07	7			1.67676e-05	-3.78119e-07	1.67714e-05	-1.284	1.72445e-05	2.1048e-06	1.73711e-05	6.966	7.2243e-06	4.61006e-07	7.23827e-06	3.654	6.39542e-06	-1.75555e-06	6.63198e-06	-15.348	-2.012027e-11
0.08	8			1.6207e-05	-6.89182e-07	1.62219e-05	-2.43	1.70657e-05	1.85893e-06	1.71625e-05	6.222	7.85111e-06	1.00304e-06	7.91537e-06	7.29	7.0073e-06	-2.06476e-06	7.30439e-06	-16.41	-2.146048e-11
0.09	9			1.67378e-05	7.0781e-08	1.67378e-05	0.246	1.71812e-05	2.40655e-06	1.73488e-05	7.974	7.27832e-06	7.7207e-07	7.31929e-06	6.06	6.72883e-06	-1.68477e-06	6.93652e-06	-14.046	-1.932451e-11
0.1	10			1.57059e-05	-3.12926e-07	1.57097e-05	-1.134	1.68943e-05	1.92599e-06	1.70023e-05	6.504	6.63757e-06	8.01872e-07	6.68599e-06	6.888	5.80217e-06	-1.55532e-06	6.00613e-06	-15.006	-1.974333e-11
0.11	11			1.5516e-05	4.71251e-07	1.55215e-05	1.74	1.76729e-05	2.80143e-06	1.78927e-05	9.012	6.70555e-06	-2.91506e-07	6.71114e-06	-2.484	5.85898e-06	-2.69899e-06	6.45037e-06	-24.726	-1.907319e-11
0.12	12			1.56687e-05	-1.56463e-07	1.56687e-05	-0.57	1.69949e-05	2.4438e-06	1.717e-05	8.19	6.8974e-06	1.15298e-06	6.99426e-06	9.492	5.9251e-06	-2.71855e-06	6.51929e-06	-24.642	-2.330335e-11
0.13	13			1.53763e-05	-4.09784e-08	1.53763e-05	-0.15	1.70284e-05	1.53855e-06	1.70992e-05	5.166	7.14607e-06	4.74976e-07	7.1619e-06	3.804	5.56375e-06	-1.58605e-06	5.7854e-06	-15.9	-2.133485e-11
0.14	14			1.47559e-05	-4.04196e-07	1.47615e-05	-1.566	1.63728e-05	2.35067e-06	1.65404e-05	8.178	7.58751e-06	1.1474e-06	7.67416e-06	8.604	6.48576e-06	-1.8878e-06	6.75491e-06	-16.224	-2.125104e-11
0.15	15			1.43555e-05	-5.58796e-09	1.43555e-05	-0.018	1.56128e-05	1.60188e-06	1.56985e-05	5.862	6.46993e-06	1.302e-06	6.60031e-06	11.382	5.84128e-06	-1.65404e-06	6.07039e-06	-15.81	-2.037159e-11
0.16	16			1.45194e-05	-7.89765e-07	1.45399e-05	-3.108	1.60859e-05	1.83658e-06	1.61865e-05	6.528	6.73815e-06	1.72296e-07	6.74001e-06	1.47	5.54885e-06	-2.45312e-06	6.06666e-06	-23.844	-2.162806e-11
0.17	17			1.48193e-05	-3.66943e-07	1.4823e-05	-1.416	1.51881e-05	1.62051e-06	1.52738e-05	6.102	6.99706e-06	1.43425e-07	6.99892e-06	1.182	5.8655e-06	-1.97814e-06	6.1896e-06	-18.624	-1.702101e-11
0.18	18			1.45902e-05	-8.54958e-07	1.46144e-05	-3.348	1.62461e-05	2.3693e-06	1.64212e-05	8.298	7.38355e-06	1.10642e-06	7.46551e-06	8.532	5.96515e-06	-1.38768e-06	6.12441e-06	-13.092	-1.794239e-11
0.19	19			1.49552e-05	1.86265e-07	1.49571e-05	0.714	1.58326e-05	1.44169e-06	1.58959e-05	5.208	6.84898e-06	-3.00819e-07	6.85549e-06	-2.508	5.59821e-06	-1.87662e-06	5.90368e-06	-18.528	-1.7021e-11
0.2	20			1.55476e-05	2.51459e-07	1.55476e-05	0.93	1.48453e-05	2.13088e-06	1.49981e-05	8.178	6.16352e-06	8.04666e-07	6.21754e-06	7.44	6.96818e-06	-2.08618e-06	7.27366e-06	-16.662	-2.120919e-11
0.21	21			1.40593e-05	1.11759e-08	1.40593e-05	0.048	1.57544e-05	1.86638e-06	1.58624e-05	6.768	6.29018e-06	7.0129e-07	6.33023e-06	6.366	6.03593e-06	-1.92413e-06	6.33489e-06	-17.67	-1.429869e-11
0.22	22			1.43629e-05	-3.35278e-07	1.43666e-05	-1.338	1.55383e-05	2.04147e-06	1.56724e-05	7.494	6.85829e-06	5.47621e-07	6.87971e-06	4.566	5.17818e-06	-1.74996e-06	5.46596e-06	-18.66	-1.890572e-11
0.23	23			1.35378e-05	-9.31328e-09	1.35378e-05	-0.036	1.56054e-05	2.48478e-06	1.57991e-05	9.054	6.88343e-06	8.15842e-07	6.93279e-06	6.768	5.81428e-06	-1.2694e-06	5.95025e-06	-12.306	-2.187932e-11
0.24	24			1.35787e-05	-6.61243e-07	1.35955e-05	-2.784	1.44728e-05	2.09363e-06	1.46255e-05	8.244	6.13093e-06	1.06265e-06	6.2222e-06	9.84	5.08226e-06	-1.6531e-06	5.34489e-06	-18.012	-2.259133e-11
0.25	25			1.41077e-05	-2.04892e-08	1.41077e-05	-0.084	1.55905e-05	1.76207e-06	1.5691e-05	6.45	6.02755e-06	4.60075e-07	6.04431e-06	4.368	5.59728e-06	-2.2296e-06	6.02475e-06	-21.714	-2.183739e-11
