variable x	variable x count			lockin1 x	lockin1 y	lockin1 r	lockin1 phi	lockin2 x	lockin2 y	lockin2 r	lockin2 phi	lockin3 x	lockin3 y	lockin3 r	lockin3 phi	smu1 meas	


5.0	0			0.00033343	-0.000272753	0.000430824	-39.27	-0.0256883	0.00234987	0.0257913	174.774	0.00308706	0.000298979	0.00310136	5.538	-2.175372e-11
4.995	1			0.000346305	-0.000277402	0.00044358	-38.688	-0.0256921	0.00234987	0.0257951	174.774	0.00299408	0.000308992	0.00300981	5.898	-2.242384e-11
4.99	2			0.000377538	-0.000281455	0.000470879	-36.702	-0.0256883	0.00234987	0.0257913	174.774	0.00295545	0.000309469	0.00297214	5.982	-1.697918e-11
4.985	3			0.000411274	-0.000281813	0.000498537	-34.416	-0.0256768	0.00234987	0.0257798	174.762	0.00286199	0.000318529	0.00287963	6.354	-2.28846e-11
4.98	4			0.000414016	-0.000283005	0.000501517	-34.344	-0.0256768	0.00234987	0.0257798	174.762	0.00279714	0.000321867	0.00281526	6.57	-2.066479e-11
4.975	5			0.000428917	-0.000283958	0.000514392	-33.498	-0.0256692	0.00234987	0.0257722	174.762	0.00269939	0.000331404	0.00271989	7.002	-1.894765e-11
4.97	6			0.000439646	-0.000282766	0.000522736	-32.742	-0.025654	0.00234987	0.025757	174.756	0.00257541	0.000345232	0.0025983	7.644	-2.016222e-11
4.965	7			0.00045407	-0.000287535	0.000537399	-32.34	-0.0256425	0.00234987	0.0257455	174.762	0.00247671	0.000350954	0.0025015	8.064	-1.752363e-11
4.96	8			0.000469806	-0.000287892	0.000550989	-31.488	-0.0256349	0.00234987	0.0257379	174.756	0.0024047	0.00035906	0.00243141	8.496	-2.104172e-11
4.955	9			0.000483872	-0.000286462	0.000562314	-30.618	-0.0256082	0.00234987	0.0257112	174.756	0.00224878	0.000372889	0.00227977	9.42	-1.446625e-11
4.95	10			0.000508074	-0.000288012	0.00058401	-29.532	-0.0255777	0.00234605	0.0256807	174.756	0.00206377	0.000387194	0.00209953	10.638	-2.053918e-11
