variable x	variable x count			lockin1 x	lockin1 y	lockin1 r	lockin1 phi	lockin2 x	lockin2 y	lockin2 r	lockin2 phi	lockin3 x	lockin3 y	lockin3 r	lockin3 phi	lockin4 x	lockin4 y	lockin4 r	lockin4 phi	smu1 meas	


0.2	0			1.53558e-05	-7.52512e-07	1.53707e-05	-2.796	1.61586e-05	2.10108e-06	1.62945e-05	7.41	2.5565e-06	1.51993e-06	2.97373e-06	30.744	1.98606e-06	-2.42471e-06	3.13392e-06	-50.676	-2.20047e-11
0.195	1			1.43126e-05	-3.27827e-07	1.43126e-05	-1.308	1.65888e-05	2.31715e-06	1.67509e-05	7.956	2.94299e-06	1.02167e-06	3.11529e-06	19.146	1.15624e-06	-2.02005e-06	2.32739e-06	-60.21	-1.459163e-11
0.19	2			1.4741e-05	-1.86266e-08	1.4741e-05	-0.066	1.52962e-05	2.43822e-06	1.54899e-05	9.06	2.17093e-06	1.57767e-06	2.68315e-06	36.006	1.55159e-06	-1.54926e-06	2.19235e-06	-44.952	-1.907301e-11
0.185	3			1.43797e-05	3.91157e-07	1.43871e-05	1.566	1.65795e-05	1.57953e-06	1.66559e-05	5.442	2.78839e-06	1.0999e-06	2.99794e-06	21.534	8.11651e-07	-1.19769e-06	1.44635e-06	-55.854	-2.288419e-11
0.18	4			1.49496e-05	-5.96051e-08	1.49496e-05	-0.216	1.66466e-05	1.81981e-06	1.67472e-05	6.24	2.76697e-06	8.83829e-07	2.90574e-06	17.712	1.61585e-06	-8.1398e-07	1.80957e-06	-26.73	-1.773279e-11
0.175	5			1.53558e-05	-9.6858e-08	1.53558e-05	-0.348	1.6166e-05	2.2445e-06	1.63206e-05	7.908	2.53135e-06	6.79869e-07	2.62169e-06	15.042	1.91388e-06	-1.17301e-06	2.2445e-06	-31.5	-1.844474e-11
0.17	6			1.5203e-05	-1.86266e-08	1.5203e-05	-0.06	1.74158e-05	1.57208e-06	1.74866e-05	5.16	2.36371e-06	8.29812e-07	2.50527e-06	19.338	1.65497e-06	-1.40863e-06	2.17279e-06	-40.392	-2.217219e-11
0.165	7			1.62163e-05	-7.00358e-07	1.62312e-05	-2.46	1.64976e-05	1.86824e-06	1.66019e-05	6.462	2.43729e-06	9.51815e-07	2.61703e-06	21.33	2.05451e-06	-1.34251e-06	2.45405e-06	-33.156	-2.250727e-11
0.16	8			1.57506e-05	-1.78815e-07	1.57506e-05	-0.642	1.65553e-05	1.06544e-06	1.65907e-05	3.684	2.075e-06	1.28058e-06	2.43822e-06	31.68	1.66894e-06	-9.98385e-07	1.94462e-06	-30.876	-2.384745e-11
0.155	9			1.51434e-05	4.47037e-08	1.51434e-05	0.174	1.62759e-05	1.84589e-06	1.63821e-05	6.474	2.49503e-06	9.87209e-07	2.68315e-06	21.6	2.01819e-06	-1.58e-06	2.56301e-06	-38.052	-2.288419e-11
0.15	10			1.61157e-05	-6.37028e-07	1.61269e-05	-2.25	1.72631e-05	1.83099e-06	1.736e-05	6.054	2.70364e-06	1.20793e-06	2.96162e-06	24.096	2.37722e-06	-2.22634e-06	3.25638e-06	-43.122	-1.898917e-11
