variable x	variable x count			lockin1 x	lockin1 y	lockin1 r	lockin1 phi	lockin2 x	lockin2 y	lockin2 r	lockin2 phi	lockin3 x	lockin3 y	lockin3 r	lockin3 phi	lockin4 x	lockin4 y	lockin4 r	lockin4 phi	smu1 meas	


0.954	23			6.92908e-07	-1.51322e-05	1.51434e-05	-87.378	8.88115e-06	5.21841e-05	5.29292e-05	80.34	-1.1623e-06	-3.6225e-05	3.62324e-05	-91.836	2.30969e-07	2.04445e-05	2.04445e-05	89.346	-2.363816e-11
0.952	24			1.97442e-06	-1.51732e-05	1.52962e-05	-82.578	8.40431e-06	5.25715e-05	5.32272e-05	80.904	-5.21543e-08	-3.58375e-05	3.58301e-05	-90.072	1.11759e-07	2.0221e-05	2.0221e-05	89.682	-2.120904e-11
0.95	25			1.94462e-06	-1.5203e-05	1.5326e-05	-82.704	1.03415e-05	5.25119e-05	5.35252e-05	78.834	9.68583e-07	-3.51744e-05	3.51819e-05	-88.416	5.886e-07	2.05861e-05	2.05972e-05	88.356	-2.376382e-11
0.948	26			2.61144e-06	-1.5691e-05	1.59034e-05	-80.544	1.00732e-05	5.18861e-05	5.28696e-05	78.99	2.07128e-06	-3.54873e-05	3.55395e-05	-86.658	-1.49013e-07	1.97926e-05	1.97926e-05	90.426	-2.300988e-11
0.946	27			1.39327e-06	-1.55458e-05	1.56054e-05	-84.864	1.1623e-05	5.03066e-05	5.16179e-05	76.98	8.14354e-06	-3.6441e-05	3.73351e-05	-77.4	4.61938e-07	2.09623e-05	2.09698e-05	88.734	-2.30937e-11
0.944	28			2.50341e-06	-1.56128e-05	1.58065e-05	-80.88	1.13249e-05	5.13198e-05	5.25715e-05	77.556	1.43722e-05	-3.63591e-05	3.90934e-05	-68.43	5.28995e-07	1.97479e-05	1.97553e-05	88.464	-2.020386e-11
0.942	29			3.92649e-06	-1.56724e-05	1.6153e-05	-75.924	1.29045e-05	5.00085e-05	5.16477e-05	75.504	2.42816e-05	-3.81621e-05	4.52253e-05	-57.528	-1.30386e-07	1.99528e-05	1.99528e-05	90.372	-2.338689e-11
0.94	30			4.3847e-06	-1.5881e-05	1.64696e-05	-74.556	1.33515e-05	4.89953e-05	5.07536e-05	74.742	4.49868e-05	-3.80802e-05	5.89418e-05	-40.242	2.30969e-07	1.98857e-05	1.98857e-05	89.328	-2.380568e-11
0.938	31			2.2214e-05	-1.67751e-05	2.78355e-05	-37.05	1.62722e-05	4.85482e-05	5.12006e-05	71.466	9.30359e-05	-4.11423e-05	0.000101716	-23.856	4.80566e-07	1.96957e-05	1.97032e-05	88.596	-1.815166e-11
0.936	32			1.59257e-05	-1.64249e-05	2.28734e-05	-45.882	1.5855e-05	4.81906e-05	5.07536e-05	71.766	0.000162066	-4.54488e-05	0.000168317	-15.666	6.40754e-07	1.90214e-05	1.90289e-05	88.062	-2.49784e-11
0.934	33			2.20166e-05	-1.71253e-05	2.78914e-05	-37.872	1.18539e-05	4.84216e-05	4.98521e-05	76.236	0.000243873	-4.90251e-05	0.000248762	-11.358	4.23196e-06	1.93455e-05	1.98e-05	77.658	-2.125087e-11
0.932	34			3.94399e-05	-1.71178e-05	4.29938e-05	-23.46	1.01552e-05	4.65813e-05	4.76765e-05	77.694	0.000296863	-5.20649e-05	0.000301393	-9.948	6.3591e-06	1.9502e-05	2.05116e-05	71.94	-2.016199e-11
0.93	35			2.96124e-05	-1.63914e-05	3.38482e-05	-28.962	7.72631e-06	4.73263e-05	4.79522e-05	80.73	0.000313284	-5.33762e-05	0.000317814	-9.666	1.28523e-05	1.83956e-05	2.24413e-05	55.062	-1.555499e-11
0.928	36			1.9692e-05	-1.62834e-05	2.55519e-05	-39.582	6.75771e-06	4.65515e-05	4.70432e-05	81.738	0.000272634	-4.97105e-05	0.000277134	-10.332	2.17335e-05	1.76617e-05	2.80068e-05	39.096	-2.10834e-11
0.926	37			1.1474e-05	-1.40668e-05	1.81497e-05	-50.79	6.48203e-06	4.7073e-05	4.752e-05	82.152	0.000143976	-4.13361e-05	0.000149787	-16.014	2.55258e-05	1.67751e-05	3.05476e-05	33.312	-1.764909e-11
0.924	38			2.92809e-06	-1.4212e-05	1.45063e-05	-78.348	6.0052e-06	4.68644e-05	4.72444e-05	82.698	6.16317e-05	-3.48391e-05	7.0781e-05	-29.454	2.39426e-05	1.60524e-05	2.88264e-05	33.84	-1.978505e-11
0.922	39			-3.35278e-08	-1.30088e-05	1.3005e-05	-90.144	6.29577e-06	4.72742e-05	4.76914e-05	82.41	1.90587e-05	-3.27455e-05	3.7879e-05	-59.796	1.98224e-05	1.61381e-05	2.55631e-05	39.15	-1.819354e-11
0.92	40			-5.77424e-07	-1.34297e-05	1.34372e-05	-92.46	5.23779e-06	4.7751e-05	4.80416e-05	83.742	3.20377e-07	-3.1248e-05	3.12405e-05	-89.4	1.39475e-05	1.57544e-05	2.10406e-05	48.48	-1.995258e-11
0.918	41			-3.79981e-07	-1.28858e-05	1.28858e-05	-91.674	5.85619e-06	4.71326e-05	4.74977e-05	82.914	-2.3544e-06	-3.1546e-05	3.16279e-05	-94.266	9.88698e-06	1.62573e-05	1.90289e-05	58.692	-1.844486e-11
0.916	42			6.70557e-08	-1.24053e-05	1.24015e-05	-89.676	7.21219e-06	4.68569e-05	4.74083e-05	81.246	-2.4289e-06	-3.20526e-05	3.2142e-05	-94.332	7.58845e-06	1.60896e-05	1.77921e-05	64.752	-1.83192e-11
0.914	43			-9.127e-07	-1.32137e-05	1.32397e-05	-93.936	7.76356e-06	4.73785e-05	4.80118e-05	80.694	-3.29317e-06	-3.13448e-05	3.15087e-05	-95.988	5.03662e-06	1.63132e-05	1.70731e-05	72.834	-1.903119e-11
0.912	44			-9.68583e-07	-1.29231e-05	1.29529e-05	-94.278	7.02593e-06	4.65366e-05	4.70581e-05	81.408	-2.91319e-06	-3.26934e-05	3.28126e-05	-95.082	3.86688e-06	1.66149e-05	1.70582e-05	76.89	-1.735593e-11
0.91	45			-1.82167e-06	-1.2938e-05	1.30609e-05	-98.01	7.09298e-06	4.72965e-05	4.78181e-05	81.468	-2.47361e-06	-3.31181e-05	3.32e-05	-94.26	3.07338e-06	1.67863e-05	1.70657e-05	79.614	-1.90312e-11
0.908	46			-8.5682e-07	-1.32286e-05	1.32509e-05	-93.69	5.28994e-06	4.69389e-05	4.72444e-05	83.568	-2.9877e-06	-3.19632e-05	3.20973e-05	-95.34	3.46453e-06	1.61902e-05	1.6559e-05	77.916	-1.944995e-11
0.906	47			-1.25916e-06	-1.3616e-05	1.36681e-05	-95.274	6.98867e-06	4.56648e-05	4.61938e-05	81.294	-2.88339e-06	-3.36247e-05	3.37365e-05	-94.896	2.6785e-06	1.72892e-05	1.74978e-05	81.192	-2.242356e-11
0.904	48			-7.07809e-07	-1.24463e-05	1.24649e-05	-93.252	5.78913e-06	4.88835e-05	4.92188e-05	83.244	-3.88923e-06	-3.2522e-05	3.27455e-05	-96.816	2.04147e-06	1.64324e-05	1.6559e-05	82.914	-1.865425e-11
0.902	49			-9.6858e-08	-1.26623e-05	1.26586e-05	-90.438	6.47458e-06	4.77436e-05	4.81831e-05	82.272	-2.92064e-06	-3.25593e-05	3.26859e-05	-95.124	1.38954e-06	1.72631e-05	1.7319e-05	85.398	-2.028763e-11
0.9	50			-1.35974e-06	-1.26102e-05	1.26809e-05	-96.138	5.85619e-06	4.69389e-05	4.73114e-05	82.884	-2.83124e-06	-3.37961e-05	3.39078e-05	-94.782	7.59963e-07	1.77772e-05	1.77958e-05	87.54	-1.940811e-11
0.898	51			1.56463e-07	-1.41301e-05	1.41264e-05	-89.364	6.94397e-06	4.69612e-05	4.74753e-05	81.588	-3.62845e-06	-3.27977e-05	3.29914e-05	-96.312	1.35974e-06	1.78331e-05	1.7889e-05	85.632	-2.238169e-11
0.896	52			-8.82897e-07	-1.34037e-05	1.34297e-05	-93.756	7.50276e-06	4.90847e-05	4.96509e-05	81.306	-2.82378e-06	-3.2604e-05	3.27157e-05	-94.944	9.2015e-07	1.74196e-05	1.74457e-05	86.964	-1.919872e-11
0.894	53			-1.41562e-06	-1.32286e-05	1.32993e-05	-96.102	6.18401e-06	4.86972e-05	4.90847e-05	82.758	-2.65242e-06	-3.38259e-05	3.39302e-05	-94.476	9.38777e-07	1.75723e-05	1.75984e-05	86.94	-1.936622e-11
0.892	54			-5.58797e-07	-1.31988e-05	1.32062e-05	-92.412	6.713e-06	4.92709e-05	4.97254e-05	82.236	-3.18141e-06	-3.3431e-05	3.35725e-05	-95.436	3.42729e-07	1.79448e-05	1.79486e-05	88.902	-1.869611e-11
0.89	55			-5.58796e-08	-1.3657e-05	1.36532e-05	-90.222	6.58634e-06	4.84067e-05	4.88537e-05	82.248	-2.42145e-06	-3.4027e-05	3.4109e-05	-94.068	1.66521e-06	1.80268e-05	1.8105e-05	84.72	-1.844483e-11
0.888	56			1.06544e-06	-1.37278e-05	1.3765e-05	-85.554	8.35961e-06	5.05152e-05	5.12006e-05	80.604	-2.414e-06	-3.36918e-05	3.37663e-05	-94.098	1.19583e-06	1.86228e-05	1.86638e-05	86.322	-1.936624e-11
0.886	57			3.50924e-06	-1.3914e-05	1.43462e-05	-75.84	1.05724e-05	4.93156e-05	5.04332e-05	77.898	-8.86623e-07	-3.25667e-05	3.25742e-05	-91.548	2.94299e-06	1.80342e-05	1.82727e-05	80.724	-2.175346e-11
0.884	58			8.12119e-06	-1.31913e-05	1.54861e-05	-58.374	1.40742e-05	5.04034e-05	5.23257e-05	74.394	2.3991e-06	-3.33639e-05	3.34384e-05	-85.884	5.52836e-06	1.76394e-05	1.84887e-05	72.6	-2.125092e-11
0.882	59			1.67714e-05	-1.41673e-05	2.19533e-05	-40.182	2.57717e-05	4.87866e-05	5.51792e-05	62.148	9.05251e-06	-3.44145e-05	3.55842e-05	-75.258	1.03042e-05	1.73749e-05	2.02024e-05	59.328	-2.1586e-11
0.88	60			2.94709e-05	-1.46516e-05	3.29094e-05	-26.43	4.36085e-05	4.78702e-05	6.47535e-05	47.664	1.91407e-05	-3.5316e-05	4.01589e-05	-61.536	1.65516e-05	1.66708e-05	2.34918e-05	45.21	-2.15441e-11
0.878	61			4.70544e-05	-1.63802e-05	4.98223e-05	-19.194	6.94473e-05	4.81906e-05	8.45273e-05	34.758	3.63963e-05	-3.62175e-05	5.13422e-05	-44.85	2.70755e-05	1.5501e-05	3.11995e-05	29.79	-1.928246e-11
0.876	62			6.90077e-05	-1.67155e-05	7.10008e-05	-13.614	0.000106119	4.451e-05	0.000115075	22.752	6.11027e-05	-3.735e-05	7.1608e-05	-31.434	3.68992e-05	1.49944e-05	3.9831e-05	22.116	-2.070642e-11
0.874	63			8.78801e-05	-1.87532e-05	8.98656e-05	-12.048	0.000149199	4.24313e-05	0.000155115	15.876	9.32147e-05	-4.03377e-05	0.000101567	-23.4	4.11349e-05	1.45548e-05	4.36346e-05	19.488	-2.347067e-11
0.872	64			0.000100732	-1.88575e-05	0.000102476	-10.602	0.000183822	4.05016e-05	0.000188232	12.426	0.000125029	-4.17384e-05	0.000131809	-18.456	3.93766e-05	1.35601e-05	4.16453e-05	19.002	-2.083209e-11
