variable x	variable x count			lockin1 x	lockin1 y	lockin1 r	lockin1 phi	lockin2 x	lockin2 y	lockin2 r	lockin2 phi	lockin3 x	lockin3 y	lockin3 r	lockin3 phi	lockin4 x	lockin4 y	lockin4 r	lockin4 phi	smu1 meas	


12.0	0			-0.000119091	-0.000435712	0.000451567	-105.288	0.0133458	-0.000436785	0.0133515	-1.866	0.0624201	-0.00928503	0.063107	-8.46	0.0490649	-0.00942618	0.0499613	-10.872	-1.810961e-11
11.99	1			-0.00011766	-0.000436308	0.000451805	-105.096	0.0130711	-0.000392916	0.0130787	-1.716	0.0621493	-0.00924307	0.0628324	-8.454	0.0490649	-0.00942236	0.0499613	-10.866	-2.384739e-11
11.98	2			-0.000119091	-0.000436546	0.000452401	-105.258	0.0128632	-0.000358583	0.0128689	-1.596	0.0619357	-0.00920492	0.0626149	-8.454	0.0490649	-0.00942236	0.0499613	-10.866	-1.95754e-11
11.97	3			-0.000116706	-0.000432374	0.000447752	-105.09	0.0125676	-0.000314714	0.0125695	-1.428	0.0616419	-0.00915915	0.0623209	-8.448	0.0490649	-0.00941473	0.0499613	-10.86	-2.116694e-11
11.96	4			-0.00011611	-0.000430586	0.000445725	-105.078	0.0123406	-0.000278475	0.0123444	-1.29	0.0614169	-0.00912482	0.0620883	-8.448	0.0490687	-0.00941092	0.0499613	-10.854	-1.915661e-11
11.95	5			-0.000116349	-0.000432851	0.00044799	-105.036	0.0121251	-0.000244142	0.012127	-1.152	0.0611994	-0.00908667	0.0618708	-8.448	0.0490687	-0.00941473	0.0499613	-10.86	-2.007802e-11
11.94	6			-0.000114441	-0.00042999	0.000444891	-104.898	0.0118847	-0.000205995	0.0118867	-0.99	0.0609667	-0.00904852	0.0616343	-8.442	0.0490725	-0.0094071	0.0499651	-10.848	-2.405677e-11
11.93	7			-0.000117183	-0.000429275	0.000444772	-105.264	0.0116616	-0.000171662	0.0116635	-0.846	0.0607378	-0.00901037	0.0613978	-8.436	0.0490649	-0.00940329	0.0499613	-10.848	-2.087375e-11
11.92	8			-0.000116468	-0.000427248	0.000442745	-105.252	0.0114632	-0.000141145	0.0114651	-0.702	0.0605395	-0.00897986	0.0612032	-8.436	0.0490687	-0.00940329	0.0499613	-10.848	-1.827705e-11
11.91	9			-0.00011623	-0.000424864	0.000440361	-105.294	0.011324	-0.000120163	0.011324	-0.606	0.0603983	-0.00896078	0.0610583	-8.436	0.0490687	-0.00940329	0.0499613	-10.842	-1.857029e-11
11.9	10			-0.000114203	-0.000420215	0.000435354	-105.204	0.0110779	-8.20165e-05	0.0110779	-0.42	0.0601504	-0.00892645	0.0608065	-8.436	0.0490725	-0.00939947	0.0499613	-10.842	-2.376363e-11
11.89	11			-0.000114084	-0.000422241	0.000437262	-105.12	0.0108605	-4.57766e-05	0.0108605	-0.24	0.0599368	-0.0088883	0.0605929	-8.436	0.0490725	-0.00939947	0.0499613	-10.842	-2.129261e-11
11.88	12			-0.000113965	-0.000419857	0.000434877	-105.174	0.0107003	-2.28883e-05	0.0107003	-0.114	0.0597765	-0.0088616	0.0604289	-8.43	0.0490687	-0.00939566	0.0499613	-10.836	-2.192079e-11
