variable x	variable x count			lockin1 x	lockin1 y	lockin1 r	lockin1 phi	lockin2 x	lockin2 y	lockin2 r	lockin2 phi	lockin3 x	lockin3 y	lockin3 r	lockin3 phi	lockin4 x	lockin4 y	lockin4 r	lockin4 phi	smu1 meas	


0.3	0			1.17273e-05	4.43311e-07	1.17384e-05	2.166	1.33664e-05	1.52738e-06	1.34558e-05	6.528	5.63546e-06	-1.80677e-07	5.63826e-06	-1.836	5.12696e-06	-1.76859e-06	5.42405e-06	-19.032	-2.108325e-11
0.29	1			1.26735e-05	-5.14094e-07	1.26847e-05	-2.316	1.32025e-05	2.77163e-06	1.34893e-05	11.862	6.21568e-06	1.6885e-06	6.44012e-06	15.204	5.55816e-06	-2.26592e-06	6.00147e-06	-22.176	-2.397308e-11
0.28	2			1.28598e-05	8.94074e-08	1.28598e-05	0.402	1.37464e-05	2.46988e-06	1.39662e-05	10.182	5.67551e-06	1.2545e-06	5.81334e-06	12.468	5.35234e-06	-1.07941e-06	5.45944e-06	-11.394	-2.430811e-11
0.27	3			1.2707e-05	-7.9349e-07	1.27294e-05	-3.57	1.39587e-05	2.09735e-06	1.41152e-05	8.556	5.98005e-06	1.4687e-06	6.15793e-06	13.806	5.81055e-06	-2.0424e-06	6.15887e-06	-19.362	-2.28004e-11
0.26	4			1.29119e-05	-1.60188e-07	1.29119e-05	-0.708	1.42232e-05	2.07873e-06	1.4376e-05	8.316	6.19053e-06	1.76952e-07	6.19332e-06	1.638	5.13627e-06	-2.44939e-06	5.68948e-06	-25.488	-2.393123e-11
0.25	5			1.37799e-05	-8.23293e-07	1.3806e-05	-3.408	1.49496e-05	2.42518e-06	1.51471e-05	9.216	6.54443e-06	1.41096e-06	6.69531e-06	12.168	5.69134e-06	-2.67477e-06	6.28832e-06	-25.17	-2.137641e-11
0.24	6			1.46665e-05	-3.46454e-07	1.46703e-05	-1.338	1.44281e-05	2.30969e-06	1.46106e-05	9.096	5.6932e-06	1.15112e-06	5.80869e-06	11.436	5.34675e-06	-2.58071e-06	5.93628e-06	-25.764	-2.334487e-11
0.23	7			1.39438e-05	4.39586e-07	1.39513e-05	1.806	1.53073e-05	2.05637e-06	1.54452e-05	7.662	6.27435e-06	1.64845e-07	6.27621e-06	1.512	5.20985e-06	-1.44263e-06	5.40636e-06	-15.474	-2.242346e-11
0.22	8			1.48267e-05	9.31327e-08	1.48267e-05	0.372	1.57283e-05	2.16441e-06	1.58773e-05	7.842	5.98657e-06	1.39792e-06	6.14769e-06	13.146	5.58145e-06	-1.57767e-06	5.80031e-06	-15.78	-2.108326e-11
0.21	9			1.51434e-05	-1.26661e-07	1.51434e-05	-0.468	1.48826e-05	2.75673e-06	1.51359e-05	10.506	6.47551e-06	9.51815e-07	6.5463e-06	8.37	6.11975e-06	-1.59164e-06	6.32278e-06	-14.574	-2.37218e-11
0.2	10			1.5162e-05	-3.09201e-07	1.51657e-05	-1.158	1.55048e-05	1.37464e-06	1.55644e-05	5.076	6.18494e-06	1.32155e-06	6.32464e-06	12.066	5.97726e-06	-1.15019e-06	6.08622e-06	-10.884	-1.400528e-11
