variable x	variable x count			lockin1 x	lockin1 y	lockin1 r	lockin1 phi	lockin2 x	lockin2 y	lockin2 r	lockin2 phi	lockin3 x	lockin3 y	lockin3 r	lockin3 phi	lockin4 x	lockin4 y	lockin4 r	lockin4 phi	smu1 meas	


-1.0	0			0.000482621	1.25766e-05	0.000482799	1.5	8.48477e-05	-2.30783e-05	8.79322e-05	-15.216	-0.00580361	0.000267031	0.00580886	177.36	-0.00541356	0.000313284	0.00542215	176.682	-2.133453e-11
-1.005	1			0.000810865	-4.35117e-06	0.000810865	-0.306	0.000127428	-2.76939e-05	0.000130401	-12.258	-0.00608829	0.000280859	0.00609401	177.36	-0.00542405	0.000315191	0.00543264	176.67	-1.651812e-11
-1.01	2			0.000801627	-4.52998e-06	0.000801627	-0.324	0.000161701	-3.08456e-05	0.000164614	-10.8	-0.00615457	0.00028372	0.00616077	177.36	-0.00552848	0.000320436	0.00553706	176.682	-2.35124e-11
-1.015	3			0.000929359	-1.15634e-05	0.000929479	-0.708	0.000110545	-2.72394e-05	0.000113853	-13.842	-0.00612739	0.000282289	0.00613359	177.36	-0.00530675	0.000308039	0.00531533	176.676	-1.693698e-11
-1.02	4			0.000850681	-7.51021e-06	0.000850681	-0.504	0.000246944	-3.6061e-05	0.000249567	-8.304	-0.00618365	0.000285627	0.00618985	177.354	-0.00559476	0.000325205	0.00560334	176.67	-2.25491e-11
-1.025	5			0.000807527	-4.17235e-06	0.000807527	-0.288	0.000272872	-3.77896e-05	0.000275495	-7.884	-0.0062218	0.000287058	0.006228	177.354	-0.00568774	0.000330927	0.00569728	176.67	-1.693699e-11
-1.03	6			0.000753406	-1.66894e-06	0.000753406	-0.126	0.000262382	-3.7581e-05	0.000265064	-8.148	-0.00622466	0.000285627	0.00623086	177.372	-0.00574639	0.000332357	0.00575593	176.688	-2.062256e-11
-1.035	7			0.000695709	5.9605e-07	0.000695709	0.048	0.000246586	-3.58822e-05	0.000249179	-8.28	-0.00623086	0.000286581	0.00623706	177.36	-0.00579312	0.000334265	0.00580218	176.694	-2.196279e-11
-1.04	8			0.000667218	2.98025e-06	0.000667218	0.264	0.000240327	-3.85048e-05	0.000243396	-9.102	-0.00624564	0.000285627	0.00625184	177.384	-0.00582889	0.000338079	0.00583795	176.676	-1.64763e-11
-1.045	9			0.000618462	5.72208e-06	0.000618462	0.528	0.00023383	-3.74021e-05	0.00023678	-9.084	-0.0062609	0.000286581	0.0062671	177.378	-0.00587943	0.000339987	0.00588897	176.688	-2.104138e-11
