4.99970000	754.50000000	7566.00000000	1.16000000	-178.83000000
4.99860000	754.50000000	8618.00000000	1.14000000	-178.91000000
4.99760000	754.50000000	9410.00000000	1.16000000	-178.97000000
4.99650000	754.50000000	10202.00000000	1.14000000	-179.03000000
4.99540000	755.00000000	10714.00000000	1.14000000	-179.07000000
4.99420000	755.00000000	11170.00000000	1.14000000	-179.11000000
4.99330000	755.00000000	11462.00000000	1.14000000	-179.13000000
4.99220000	755.50000000	11654.00000000	1.14000000	-179.17000000
4.99100000	756.00000000	11696.00000000	1.14000000	-179.21000000
4.98990000	756.50000000	11688.00000000	1.15000000	-179.21000000
4.98880000	757.50000000	11688.00000000	1.15000000	-179.21000000
4.98770000	758.00000000	11688.00000000	1.17000000	-179.21000000
4.98660000	759.00000000	11684.00000000	1.15000000	-179.20000000
4.98540000	759.50000000	11684.00000000	1.17000000	-179.21000000
4.98450000	760.00000000	11684.00000000	1.17000000	-179.21000000
4.98340000	761.00000000	11682.00000000	1.16000000	-179.21000000
4.98220000	762.00000000	11678.00000000	1.14000000	-179.20000000
4.98110000	762.50000000	11676.00000000	1.14000000	-179.21000000
4.98000000	763.50000000	11676.00000000	1.12000000	-179.20000000
4.97890000	764.00000000	11674.00000000	1.12000000	-179.21000000
4.97790000	765.00000000	11672.00000000	1.10000000	-179.22000000
4.97680000	765.50000000	11672.00000000	1.10000000	-179.21000000
4.97570000	766.50000000	11670.00000000	1.08000000	-179.21000000
4.97470000	767.00000000	11666.00000000	1.08000000	-179.21000000
4.97360000	768.00000000	11664.00000000	1.08000000	-179.21000000
4.97230000	768.50000000	11664.00000000	1.06000000	-179.21000000
4.97140000	769.50000000	11660.00000000	1.06000000	-179.21000000
4.97020000	770.00000000	11660.00000000	1.06000000	-179.21000000
4.96930000	770.50000000	11658.00000000	1.06000000	-179.21000000
4.96820000	771.50000000	11658.00000000	1.06000000	-179.22000000
4.96700000	772.00000000	11658.00000000	1.07000000	-179.22000000
4.96610000	773.00000000	11654.00000000	1.05000000	-179.22000000
4.96500000	773.50000000	11652.00000000	1.07000000	-179.21000000
4.96400000	774.50000000	11650.00000000	1.07000000	-179.21000000
4.96290000	775.00000000	11650.00000000	1.07000000	-179.21000000
4.96180000	776.00000000	11648.00000000	1.09000000	-179.21000000
4.96060000	776.50000000	11646.00000000	1.10000000	-179.21000000
4.95950000	777.00000000	11644.00000000	1.10000000	-179.21000000
4.95860000	778.00000000	11642.00000000	1.14000000	-179.20000000
4.95740000	779.00000000	11638.00000000	1.14000000	-179.20000000
4.95650000	779.50000000	11638.00000000	1.17000000	-179.20000000
4.95540000	780.50000000	11634.00000000	1.19000000	-179.20000000
4.95440000	781.00000000	11634.00000000	1.21000000	-179.21000000
4.95330000	781.50000000	11630.00000000	1.22000000	-179.20000000
4.95220000	782.50000000	11630.00000000	1.22000000	-179.20000000
4.95100000	783.00000000	11628.00000000	1.22000000	-179.21000000
4.95010000	783.50000000	11628.00000000	1.22000000	-179.21000000
4.94900000	784.00000000	11624.00000000	1.20000000	-179.20000000
4.94770000	784.50000000	11622.00000000	1.20000000	-179.21000000
4.94670000	785.50000000	11620.00000000	1.16000000	-179.20000000
4.94560000	786.00000000	11620.00000000	1.16000000	-179.20000000
4.94450000	786.50000000	11616.00000000	1.14000000	-179.21000000
4.94350000	787.00000000	11618.00000000	1.13000000	-179.21000000
4.94260000	788.00000000	11616.00000000	1.10000000	-179.21000000
4.94130000	789.00000000	11612.00000000	1.09000000	-179.20000000
4.94020000	789.50000000	11610.00000000	1.09000000	-179.21000000
4.93920000	790.50000000	11608.00000000	1.08000000	-179.21000000
4.93810000	791.50000000	11606.00000000	1.08000000	-179.21000000
4.93700000	792.00000000	11606.00000000	1.06000000	-179.21000000
4.93600000	793.00000000	11604.00000000	1.08000000	-179.21000000
4.93490000	794.00000000	11604.00000000	1.08000000	-179.21000000
4.93380000	794.50000000	11600.00000000	1.10000000	-179.21000000
4.93250000	796.00000000	11596.00000000	1.09000000	-179.21000000
4.93150000	797.00000000	11596.00000000	1.09000000	-179.21000000
4.93040000	797.50000000	11592.00000000	1.11000000	-179.21000000
4.92940000	798.50000000	11590.00000000	1.11000000	-179.20000000
4.92820000	799.00000000	11588.00000000	1.11000000	-179.20000000
4.92700000	800.00000000	11586.00000000	1.11000000	-179.20000000
4.92590000	801.00000000	11586.00000000	1.11000000	-179.21000000
4.92480000	801.50000000	11584.00000000	1.12000000	-179.21000000
4.92370000	802.00000000	11584.00000000	1.10000000	-179.21000000
4.92270000	803.00000000	11582.00000000	1.10000000	-179.20000000
4.92160000	803.50000000	11576.00000000	1.10000000	-179.20000000
4.92060000	804.00000000	11576.00000000	1.12000000	-179.21000000
4.91940000	804.50000000	11574.00000000	1.12000000	-179.20000000
4.91840000	805.50000000	11570.00000000	1.12000000	-179.21000000
4.91740000	806.00000000	11574.00000000	1.14000000	-179.22000000
4.91630000	806.50000000	11568.00000000	1.15000000	-179.21000000
4.91520000	807.50000000	11568.00000000	1.15000000	-179.22000000
4.91420000	808.00000000	11568.00000000	1.17000000	-179.22000000
4.91310000	809.00000000	11562.00000000	1.17000000	-179.22000000
4.91200000	809.50000000	11562.00000000	1.16000000	-179.22000000
4.91100000	810.00000000	11560.00000000	1.15000000	-179.20000000
4.91010000	811.00000000	11556.00000000	1.14000000	-179.21000000
4.90910000	812.00000000	11556.00000000	1.16000000	-179.22000000
4.90800000	813.00000000	11556.00000000	1.16000000	-179.20000000
4.90690000	814.00000000	11552.00000000	1.14000000	-179.21000000
