variable x	variable x count			lockin1 x	lockin1 y	lockin1 r	lockin1 phi	lockin2 x	lockin2 y	lockin2 r	lockin2 phi	lockin3 x	lockin3 y	lockin3 r	lockin3 phi	lockin4 x	lockin4 y	lockin4 r	lockin4 phi	smu1 meas	


0.0	0			1.0781e-05	-9.49954e-08	1.0781e-05	-0.498	1.22004e-05	1.32249e-06	1.22712e-05	6.186	6.27901e-06	1.88128e-07	6.28273e-06	1.716	5.05711e-06	-2.28362e-06	5.54885e-06	-24.294	-2.175342e-11
0.002	1			1.16844e-05	3.14789e-07	1.169e-05	1.542	1.22674e-05	1.89991e-06	1.24127e-05	8.814	1.61008e-05	9.6858e-08	1.61008e-05	0.348	1.68198e-05	-2.52204e-06	1.70079e-05	-8.526	-2.087389e-11
0.004	2			1.30404e-05	2.42146e-07	1.30423e-05	1.068	1.30572e-05	2.68595e-06	1.33291e-05	11.622	2.64124e-05	-5.43896e-07	2.6418e-05	-1.176	2.68595e-05	-3.10318e-06	2.70383e-05	-6.588	-2.24654e-11
0.006	3			1.24463e-05	-9.18288e-07	1.24798e-05	-4.212	1.40332e-05	2.3693e-06	1.42344e-05	9.582	3.66385e-05	-8.73584e-07	3.66496e-05	-1.368	3.46249e-05	-3.83335e-06	3.48354e-05	-6.312	-1.982687e-11
0.008	4			1.31522e-05	-7.87903e-07	1.31745e-05	-3.426	1.47187e-05	2.64497e-06	1.49534e-05	10.194	4.58399e-05	-3.12926e-07	4.58399e-05	-0.384	4.50353e-05	-3.6806e-06	4.5188e-05	-4.668	-2.037133e-11
0.01	5			1.49031e-05	-4.2096e-07	1.49105e-05	-1.614	1.58363e-05	1.75462e-06	1.59332e-05	6.33	5.61329e-05	-1.25543e-06	5.61441e-05	-1.278	5.42442e-05	-4.0606e-06	5.44006e-05	-4.284	-2.116706e-11
0.012	6			1.57879e-05	-5.28995e-07	1.57972e-05	-1.914	1.67863e-05	3.26709e-06	1.71029e-05	11.022	6.46752e-05	-8.79172e-07	6.46827e-05	-0.774	6.49248e-05	-4.3996e-06	6.50738e-05	-3.876	-2.242351e-11
0.014	7			1.64976e-05	-5.886e-07	1.65069e-05	-2.04	1.87979e-05	1.83658e-06	1.88873e-05	5.592	7.38394e-05	-2.3544e-06	7.38767e-05	-1.824	7.14553e-05	-5.52836e-06	7.16676e-05	-4.422	-1.995249e-11
0.016	8			1.69576e-05	-3.68806e-07	1.69614e-05	-1.248	1.94126e-05	1.13995e-06	1.94461e-05	3.36	8.30037e-05	-2.6934e-06	8.30484e-05	-1.86	8.09175e-05	-5.25641e-06	8.10889e-05	-3.714	-1.769087e-11
0.018	9			1.78945e-05	-1.2219e-06	1.79374e-05	-3.906	2.04706e-05	2.06755e-06	2.05749e-05	5.772	9.08081e-05	-1.75834e-06	9.0823e-05	-1.104	9.02419e-05	-6.50439e-06	9.04729e-05	-4.116	-2.468513e-11
0.02	10			1.90792e-05	-1.04495e-06	1.9109e-05	-3.132	2.16813e-05	1.92971e-06	2.1767e-05	5.094	0.000101604	-2.3842e-06	0.000101634	-1.344	9.84301e-05	-6.39263e-06	9.86387e-05	-3.714	-2.627664e-11
0.022	11			1.94703e-05	-7.46924e-07	1.94852e-05	-2.196	2.33204e-05	2.70085e-06	2.34769e-05	6.612	0.000109569	-3.0175e-06	0.000109606	-1.572	0.000107356	-7.74866e-06	0.000107639	-4.128	-2.321927e-11
0.024	12			2.11057e-05	-1.05426e-06	2.11337e-05	-2.856	2.38084e-05	2.46243e-06	2.39351e-05	5.904	0.000118822	-3.38258e-06	0.000118874	-1.626	0.00011649	-7.22709e-06	0.000116721	-3.546	-2.045508e-11
0.026	13			2.14895e-05	-5.38308e-07	2.14969e-05	-1.428	2.58983e-05	2.87966e-06	2.60585e-05	6.354	0.000127935	-3.73276e-06	0.000127987	-1.668	0.000122906	-7.77846e-06	0.000123152	-3.618	-2.049696e-11
0.028	14			2.26573e-05	-1.03005e-06	2.26797e-05	-2.604	2.71165e-05	2.4438e-06	2.72283e-05	5.154	0.000138373	-4.50018e-06	0.000138448	-1.86	0.000132688	-7.68161e-06	0.000132912	-3.312	-2.116706e-11
0.03	15			2.20371e-05	-1.24053e-06	2.20725e-05	-3.222	2.73586e-05	1.94089e-06	2.74294e-05	4.062	0.000147679	-4.27666e-06	0.000147738	-1.656	0.000141443	-8.60548e-06	0.000141704	-3.48	-1.702075e-11
0.032	16			2.26666e-05	-1.58512e-06	2.27207e-05	-3.996	3.01675e-05	2.58164e-06	3.02756e-05	4.896	0.000157283	-4.83546e-06	0.000157357	-1.758	0.000149474	-8.77684e-06	0.000149735	-3.36	-1.580619e-11
0.034	17			2.2214e-05	-7.78589e-07	2.22271e-05	-2.004	3.16242e-05	3.02868e-06	3.17658e-05	5.472	0.000167535	-4.65664e-06	0.000167602	-1.59	0.000158177	-9.58896e-06	0.000158467	-3.468	-1.907297e-11
0.036	18			2.36185e-05	-1.52365e-06	2.36669e-05	-3.69	3.33341e-05	1.38954e-06	3.33639e-05	2.388	0.000177504	-5.96049e-06	0.0001776	-1.92	0.000166775	-9.32073e-06	0.000167035	-3.198	-2.292603e-11
0.038	19			2.3462e-05	-1.71178e-06	2.35235e-05	-4.17	3.55842e-05	2.65987e-06	3.56848e-05	4.278	0.000187487	-5.45385e-06	0.000187577	-1.662	0.000175581	-1.00732e-05	0.000175872	-3.282	-1.756523e-11
0.04	20			2.46485e-05	-1.27219e-06	2.4682e-05	-2.952	3.65379e-05	1.72482e-06	3.65751e-05	2.706	0.000196905	-6.58634e-06	0.000197024	-1.908	0.000185997	-1.01925e-05	0.000186295	-3.132	-2.016191e-11
0.042	21			2.33577e-05	-1.89804e-06	2.34341e-05	-4.644	3.88252e-05	1.91854e-06	3.88736e-05	2.832	0.000208528	-6.37773e-06	0.000208617	-1.746	0.000193895	-1.1772e-05	0.000194252	-3.468	-1.480101e-11
0.044	22			2.42536e-05	-1.19955e-06	2.42834e-05	-2.826	4.15074e-05	2.05637e-06	4.15558e-05	2.838	0.000218869	-6.73535e-06	0.000218959	-1.758	0.000202418	-1.07885e-05	0.000202716	-3.048	-1.949178e-11
0.046	23			2.40692e-05	-1.97814e-06	2.41512e-05	-4.692	4.27777e-05	1.77325e-06	4.28113e-05	2.376	0.000228525	-7.83807e-06	0.000228674	-1.962	0.000210733	-1.20104e-05	0.000211061	-3.258	-1.957554e-11
0.048	24			2.45274e-05	-2.39538e-06	2.46448e-05	-5.574	4.39773e-05	2.34322e-06	4.40406e-05	3.054	0.00023839	-6.37773e-06	0.000238479	-1.524	0.000219286	-1.25468e-05	0.000219614	-3.27	-2.811941e-11
0.05	25			2.45349e-05	-1.90177e-06	2.46075e-05	-4.428	4.69128e-05	1.05426e-06	4.69277e-05	1.29	0.000250252	-8.37451e-06	0.000250401	-1.908	0.000227124	-1.23978e-05	0.000227452	-3.12	-1.982682e-11
0.052	26			2.43356e-05	-1.89804e-06	2.44101e-05	-4.458	4.9405e-05	1.67639e-06	4.94348e-05	1.944	0.000260593	-8.70234e-06	0.000260742	-1.908	0.000236959	-1.35601e-05	0.000237347	-3.27	-2.091577e-11
0.054	27			2.51551e-05	-2.02471e-06	2.52371e-05	-4.596	5.09846e-05	2.39538e-06	5.10404e-05	2.694	0.000271739	-8.91095e-06	0.000271888	-1.872	0.00024596	-1.38283e-05	0.000246348	-3.216	-1.986873e-11
0.056	28			2.51924e-05	-1.62237e-06	2.52445e-05	-3.684	5.29366e-05	2.14206e-06	5.29776e-05	2.316	0.000281425	-8.34471e-06	0.000281544	-1.692	0.000252159	-1.38879e-05	0.000252547	-3.15	-1.886361e-11
