variable x	variable x count			lockin1 x	lockin1 y	lockin1 r	lockin1 phi	lockin2 x	lockin2 y	lockin2 r	lockin2 phi	lockin3 x	lockin3 y	lockin3 r	lockin3 phi	lockin4 x	lockin4 y	lockin4 r	lockin4 phi	smu1 meas	


1.0	0			6.80541e-05	-2.15993e-05	7.14031e-05	-17.61	0.00140525	-3.05178e-05	0.00140572	-1.236	0.00564101	-0.000260355	0.00564674	-2.64	0.00430682	-0.000263216	0.00431493	-3.492	-2.179522e-11
1.005	1			0.000156299	-2.69563e-05	0.000158609	-9.786	0.00140525	-3.00409e-05	0.00140548	-1.224	0.00564483	-0.000261309	0.0056515	-2.646	0.00438979	-0.000268938	0.00439838	-3.504	-1.693693e-11
1.01	2			0.000217886	-3.18589e-05	0.00022021	-8.31	0.00142122	-3.19483e-05	0.00142146	-1.284	0.00566962	-0.000262262	0.0056763	-2.646	0.00446418	-0.00027323	0.00447229	-3.498	-1.718824e-11
1.015	3			0.000135214	-2.82229e-05	0.000138135	-11.784	0.00151897	-3.5763e-05	0.00151945	-1.344	0.00575164	-0.00026417	0.00575832	-2.628	0.00437835	-0.000269415	0.00438693	-3.516	-2.074819e-11
1.02	4			0.000109882	-2.77759e-05	0.000113339	-14.178	0.00160576	-4.12466e-05	0.00160623	-1.47	0.00584987	-0.000269892	0.00585559	-2.634	0.00435498	-0.000266554	0.00436309	-3.498	-1.982678e-11
1.025	5			9.08379e-05	-2.72096e-05	9.48315e-05	-16.656	0.0018108	-5.12602e-05	0.00181151	-1.62	0.00616077	-0.000286104	0.00616744	-2.652	0.00442269	-0.000270845	0.0044308	-3.504	-2.112511e-11
1.03	6			0.000108749	-2.87296e-05	0.000112504	-14.79	0.00186134	-5.41213e-05	0.00186206	-1.662	0.00636294	-0.000296595	0.00636962	-2.664	0.00461343	-0.00028372	0.00462201	-3.516	-2.1167e-11
1.035	7			0.000125379	-2.98918e-05	0.000128896	-13.404	0.00186301	-5.22139e-05	0.00186349	-1.596	0.00637534	-0.000295641	0.00638202	-2.652	0.00463966	-0.000286104	0.00464872	-3.522	-2.150201e-11
1.04	8			0.000115633	-2.92958e-05	0.000119269	-14.208	0.00183345	-5.07834e-05	0.00183416	-1.584	0.00636771	-0.000294687	0.00637439	-2.646	0.00465253	-0.000286581	0.00466111	-3.522	-1.810962e-11
1.045	9			7.51023e-05	-2.79547e-05	8.01389e-05	-20.406	0.00178386	-4.83992e-05	0.00178433	-1.548	0.00635627	-0.000293734	0.00636294	-2.64	0.00465205	-0.00028515	0.00466064	-3.504	-1.886351e-11
1.05	10			2.19868e-05	-2.38867e-05	3.24624e-05	-47.364	0.00173498	-4.64919e-05	0.00173569	-1.53	0.00634673	-0.000293734	0.00635341	-2.646	0.00463679	-0.00028372	0.00464538	-3.498	-1.806778e-11
1.055	11			3.13671e-06	-2.25307e-05	2.27393e-05	-82.068	0.00172902	-4.52998e-05	0.0017295	-1.494	0.00634673	-0.00029278	0.00635341	-2.634	0.00462297	-0.000282289	0.00463203	-3.492	-1.852845e-11
1.06	12			4.91742e-07	-2.3909e-05	2.3909e-05	-88.818	0.00172783	-4.83992e-05	0.00172854	-1.602	0.00634387	-0.000293734	0.00635055	-2.646	0.00461963	-0.000282289	0.00462869	-3.492	-2.133451e-11
1.065	13			-1.21445e-06	-2.43263e-05	2.43561e-05	-92.856	0.00172926	-4.83992e-05	0.00172997	-1.596	0.00634387	-0.000294687	0.00635055	-2.652	0.00461534	-0.000282766	0.00462392	-3.498	-1.953354e-11
1.07	14			-2.89084e-06	-2.32459e-05	2.34173e-05	-97.08	0.00172807	-5.22139e-05	0.00172902	-1.728	0.00634292	-0.000298502	0.00634959	-2.688	0.00461486	-0.000281336	0.00462344	-3.486	-1.723012e-11
1.075	15			-1.87755e-06	-2.10033e-05	2.10853e-05	-95.1	0.00172997	-5.00681e-05	0.00173069	-1.65	0.00634292	-0.000297548	0.00634959	-2.676	0.00461295	-0.000280382	0.00462154	-3.474	-2.154393e-11
1.08	16			-3.27827e-07	-2.13535e-05	2.1346e-05	-90.876	0.00172854	-4.95913e-05	0.00172926	-1.638	0.00634006	-0.000297548	0.00634673	-2.682	0.00461438	-0.000281336	0.00462297	-3.486	-2.079008e-11
1.085	17			-2.414e-06	-1.97665e-05	1.99006e-05	-96.942	0.00172306	-4.93529e-05	0.00172377	-1.638	0.0063391	-0.000299456	0.00634673	-2.694	0.00461486	-0.000279905	0.00462297	-3.468	-2.388931e-11
1.09	18			-4.09785e-06	-1.95951e-05	2.00124e-05	-101.802	0.00171734	-4.95913e-05	0.00171805	-1.65	0.00633433	-0.000297548	0.00634101	-2.688	0.00461629	-0.000280382	0.00462487	-3.474	-2.38055e-11
1.095	19			-4.96212e-06	-1.90922e-05	1.97218e-05	-104.568	0.0017171	-4.8876e-05	0.00171781	-1.62	0.00634006	-0.000301363	0.00634769	-2.712	0.00462106	-0.000284674	0.00462964	-3.522	-2.405678e-11
1.1	20			-6.3293e-06	-2.11188e-05	2.20389e-05	-106.68	0.00170685	-4.72071e-05	0.00170756	-1.584	0.00634578	-0.000304224	0.00635341	-2.736	0.00463441	-0.000289442	0.00464347	-3.57	-1.869601e-11
1.105	21			-6.91044e-06	-1.96622e-05	2.08357e-05	-109.362	0.00169254	-4.55382e-05	0.00169326	-1.536	0.00634864	-0.000304224	0.00635627	-2.742	0.00465205	-0.000290873	0.00466064	-3.576	-2.099943e-11
1.11	22			-1.39699e-06	-2.02806e-05	2.03253e-05	-93.936	0.00166345	-4.72071e-05	0.00166417	-1.626	0.00636008	-0.000307085	0.00636676	-2.76	0.00469974	-0.00029278	0.0047088	-3.564	-1.769078e-11
1.115	23			1.95579e-06	-1.99528e-05	2.00422e-05	-84.396	0.00161339	-3.79088e-05	0.00161386	-1.344	0.00636104	-0.000304224	0.00636867	-2.73	0.00475648	-0.000298979	0.00476602	-3.594	-1.986867e-11
1.12	24			5.50973e-06	-2.15621e-05	2.22513e-05	-75.654	0.00157119	-4.33924e-05	0.0015719	-1.578	0.00636867	-0.000308992	0.0063763	-2.772	0.00480941	-0.000299932	0.00481895	-3.564	-1.605743e-11
