variable x	variable x count			lockin1 x	lockin1 y	lockin1 r	lockin1 phi	lockin2 x	lockin2 y	lockin2 r	lockin2 phi	lockin3 x	lockin3 y	lockin3 r	lockin3 phi	smu1 meas	


5.0	0			0.000362875	-0.000293614	0.000466825	-38.97	-0.0258638	0.0023842	0.0259706	174.726	0.00391868	0.000246527	0.00392631	3.6	-1.898923e-11
4.995	1			0.000353934	-0.00028968	0.000457289	-39.294	-0.025879	0.00238802	0.025982	174.72	0.00397065	0.000245096	0.00397876	3.534	-2.18372e-11
4.99	2			0.000379683	-0.000294687	0.000480654	-37.806	-0.0259095	0.00238802	0.0260164	174.732	0.00405601	0.000234605	0.00406268	3.318	-1.773275e-11
4.985	3			0.000406267	-0.000296475	0.000502948	-36.102	-0.0259362	0.00239183	0.0260392	174.726	0.00412038	0.000231267	0.00412706	3.216	-1.584811e-11
4.98	4			0.000415089	-0.000296356	0.0005101	-35.514	-0.0259553	0.00239564	0.0260621	174.726	0.00417903	0.000227929	0.00418523	3.12	-1.852852e-11
4.975	5			0.000420691	-0.00029731	0.000515107	-35.238	-0.0259744	0.00239564	0.0260812	174.726	0.00424626	0.000223161	0.00425199	3.012	-2.062263e-11
4.97	6			0.000422241	-0.000296833	0.000516061	-35.094	-0.0259897	0.00239946	0.0260965	174.726	0.00429204	0.000218869	0.00429776	2.922	-2.355433e-11
4.965	7			0.000437023	-0.000298264	0.000529055	-34.302	-0.0260125	0.00239946	0.0261155	174.726	0.00434735	0.000215054	0.00435308	2.838	-2.129272e-11
4.96	8			0.00044954	-0.000297906	0.000539187	-33.528	-0.026024	0.00239946	0.0261308	174.726	0.00439027	0.000215531	0.00439599	2.814	-2.104144e-11
4.955	9			0.000464799	-0.000297787	0.000552062	-32.64	-0.0260431	0.00239946	0.0261499	174.726	0.00444081	0.00021124	0.00444606	2.724	-2.342867e-11
4.95	10			0.000477077	-0.000300886	0.000563983	-32.226	-0.0260583	0.00240327	0.0261651	174.72	0.00447181	0.000206948	0.00447658	2.652	-2.154404e-11
4.945	11			0.000494841	-0.000302078	0.000579719	-31.392	-0.0260659	0.00240327	0.0261728	174.726	0.00448564	0.000208379	0.00449041	2.664	-1.777469e-11
4.94	12			0.000508193	-0.000303866	0.000592116	-30.876	-0.0260774	0.00240709	0.0261842	174.72	0.00449851	0.000206471	0.00450328	2.628	-1.819351e-11
4.935	13			0.000518445	-0.000305654	0.000601772	-30.516	-0.026085	0.00240709	0.0261918	174.72	0.00450805	0.000208379	0.00451282	2.652	-1.685329e-11
4.93	14			0.000538711	-0.000307204	0.00062013	-29.688	-0.0260888	0.0024109	0.0261956	174.714	0.00449374	0.000209332	0.00449899	2.67	-1.986877e-11
4.925	15			0.000568751	-0.000308396	0.000646953	-28.464	-0.0260888	0.0024109	0.0261956	174.714	0.0044575	0.000214578	0.00446275	2.76	-2.007817e-11
4.92	16			0.000587348	-0.000311615	0.000664953	-27.942	-0.0260888	0.00241472	0.0261956	174.708	0.00443366	0.000215054	0.00443938	2.778	-2.028758e-11
4.915	17			0.000621203	-0.000314595	0.000696305	-26.856	-0.0260812	0.0024109	0.026188	174.714	0.00435737	0.000222684	0.00436309	2.928	-1.798408e-11
4.91	18			0.000647668	-0.000316264	0.000720743	-26.022	-0.0260888	0.00241472	0.0261956	174.708	0.00433591	0.000226022	0.00434163	2.988	-2.489459e-11
4.905	19			0.00066543	-0.000318052	0.000737552	-25.542	-0.026085	0.00241472	0.0261956	174.708	0.00428155	0.000229836	0.00428775	3.072	-1.660199e-11
4.9	20			0.00068808	-0.000321509	0.000759486	-25.038	-0.0260659	0.00241472	0.0261766	174.702	0.00417808	0.00023985	0.00418475	3.288	-1.785844e-11
4.895	21			0.000711922	-0.000323536	0.000782017	-24.432	-0.0260583	0.00241472	0.0261689	174.702	0.00409082	0.000246527	0.00409797	3.45	-1.81935e-11
4.89	22			0.000731949	-0.000324966	0.000800733	-23.934	-0.0260354	0.00241472	0.0261422	174.696	0.0039511	0.000258924	0.00395969	3.756	-2.091579e-11
4.885	23			0.000749711	-0.00032449	0.000816945	-23.4	-0.0260202	0.0024109	0.0261308	174.702	0.00386669	0.000266077	0.00387575	3.942	-2.154402e-11
4.88	24			0.000762824	-0.000326993	0.000829939	-23.196	-0.0259973	0.0024109	0.0261079	174.696	0.00373079	0.000276091	0.00374128	4.236	-2.556468e-11
4.875	25			0.000782374	-0.000328423	0.000848535	-22.77	-0.0259668	0.0024109	0.0260774	174.69	0.00356485	0.000289442	0.00357677	4.644	-2.037134e-11
4.87	26			0.000799421	-0.000328066	0.000864033	-22.308	-0.0259362	0.00240709	0.0260469	174.69	0.00340988	0.000304224	0.00342371	5.106	-2.108331e-11
4.865	27			0.000808958	-0.000329377	0.00087345	-22.152	-0.0259172	0.00240327	0.026024	174.696	0.00329639	0.00031233	0.00331117	5.418	-2.129274e-11
4.86	28			0.000823382	-0.000331404	0.000887636	-21.918	-0.0258867	0.00239946	0.0259935	174.696	0.00314571	0.000321867	0.0031624	5.85	-2.120895e-11
4.855	29			0.000831608	-0.000329735	0.000894431	-21.624	-0.0258523	0.00239946	0.0259553	174.696	0.00295497	0.00033951	0.00297405	6.564	-2.435007e-11
4.85	30			0.000841264	-0.000331761	0.000904325	-21.522	-0.0258294	0.00239564	0.0259324	174.696	0.00281192	0.000349047	0.00283338	7.08	-2.213038e-11
4.845	31			0.000854377	-0.000333073	0.000916962	-21.294	-0.0258027	0.00239564	0.0259057	174.69	0.00265981	0.000358583	0.00268365	7.68	-1.982688e-11
4.84	32			0.00085998	-0.000332596	0.000922088	-21.138	-0.0257684	0.00238802	0.0258752	174.702	0.00248052	0.000372889	0.00250866	8.55	-2.162777e-11
4.835	33			0.00086439	-0.000332596	0.000926141	-21.042	-0.0257417	0.00238802	0.0258485	174.696	0.00234033	0.000384333	0.0023718	9.33	-1.999439e-11
4.83	34			0.000871304	-0.000330331	0.000931863	-20.76	-0.0256921	0.00238039	0.0257989	174.696	0.00211717	0.000403406	0.00215484	10.794	-2.225597e-11
4.825	35			0.000876788	-0.000331165	0.000937227	-20.682	-0.0256616	0.00237657	0.0257684	174.702	0.00193692	0.000416281	0.00198127	12.138	-2.233977e-11
4.82	36			0.000884775	-0.000331523	0.000944857	-20.532	-0.0256234	0.00237657	0.0257303	174.702	0.00175668	0.000429632	0.00180865	13.752	-2.062261e-11
4.815	37			0.000889305	-0.000329854	0.000948433	-20.346	-0.0255967	0.00237276	0.0257035	174.702	0.0016141	0.000442507	0.00167371	15.342	-2.166965e-11
4.81	38			0.000891451	-0.000330688	0.000950817	-20.346	-0.02557	0.00236894	0.0256768	174.702	0.00147963	0.000450613	0.00154687	16.938	-2.250729e-11
4.805	39			0.000896338	-0.000330927	0.000955466	-20.262	-0.0255395	0.00236513	0.0256425	174.702	0.00130845	0.000463964	0.00138808	19.524	-2.095764e-11
4.8	40			0.000900034	-0.000328304	0.000958089	-20.034	-0.0255128	0.00236131	0.0256158	174.708	0.00117446	0.000474932	0.00126696	22.008	-1.965932e-11
4.795	41			0.000905637	-0.000327827	0.000963096	-19.89	-0.0254823	0.00235368	0.0255891	174.714	0.00101901	0.000486376	0.00112916	25.524	-2.166968e-11
4.79	42			0.000905994	-0.000326278	0.000962976	-19.8	-0.0254594	0.00235368	0.0255662	174.714	0.000919823	0.000494961	0.00104476	28.29	-2.49364e-11
4.785	43			0.000909571	-0.000327351	0.000966672	-19.788	-0.0254327	0.00234987	0.0255395	174.714	0.000778202	0.000505451	0.000927929	33.012	-2.347056e-11
4.78	44			0.000915293	-0.000325801	0.000971559	-19.584	-0.0254136	0.00234987	0.0255204	174.714	0.000668291	0.000512842	0.000842575	37.5	-1.974308e-11
4.775	45			0.000916127	-0.000324609	0.000971917	-19.506	-0.0253946	0.00234605	0.0254976	174.72	0.0005734	0.000522617	0.000775818	42.348	-2.334492e-11
4.77	46			0.000919703	-0.000323536	0.000975017	-19.38	-0.0253755	0.00233842	0.0254785	174.732	0.000473024	0.000529293	0.000709776	48.204	-1.735584e-11
4.765	47			0.000921968	-0.000322821	0.000976928	-19.29	-0.0253602	0.00233461	0.0254632	174.738	0.000399115	0.000533108	0.000666145	53.178	-2.321927e-11
4.76	48			0.000925664	-0.00032139	0.000979908	-19.146	-0.025345	0.00233079	0.025448	174.738	0.000315191	0.000539545	0.000624899	59.7	-1.911489e-11
4.755	49			0.000923399	-0.000321867	0.000977762	-19.212	-0.0253335	0.00232698	0.0254365	174.744	0.000269653	0.000544313	0.000607494	63.642	-1.894735e-11
4.75	50			0.000924591	-0.000319364	0.000978239	-19.05	-0.0253259	0.00232317	0.0254289	174.75	0.000225068	0.000548605	0.000592951	67.686	-1.873792e-11
4.745	51			0.00092626	-0.000320556	0.000980146	-19.08	-0.0253221	0.00231935	0.0254251	174.762	0.00019908	0.000547413	0.000582699	70.014	-2.309362e-11
4.74	52			0.000925902	-0.000316741	0.000978597	-18.876	-0.0253145	0.00231554	0.0254174	174.768	0.000168801	0.000551943	0.000576977	72.99	-1.861229e-11
4.735	53			0.000928286	-0.000317933	0.000981219	-18.9	-0.0253106	0.00230791	0.0254136	174.786	0.000140429	0.000550512	0.000568155	75.672	-1.769091e-11
4.73	54			0.000925187	-0.000317933	0.000978239	-18.966	-0.0253068	0.00230028	0.025406	174.798	0.000117541	0.00055242	0.000564579	77.976	-2.355433e-11
4.725	55			0.000929359	-0.000316383	0.000981696	-18.798	-0.0253068	0.00229646	0.025406	174.804	0.000109911	0.000551943	0.000562672	78.732	-2.397315e-11
4.72	56			0.000926141	-0.000315191	0.000978239	-18.792	-0.025303	0.00229265	0.0254022	174.822	9.67984e-05	0.000553135	0.000561479	80.076	-2.079015e-11
4.715	57			0.00092316	-0.000315072	0.000975374	-18.84	-0.0252992	0.00228502	0.0254022	174.834	8.89306e-05	0.000551943	0.000559095	80.826	-2.091579e-11
4.71	58			0.00092173	-0.000314714	0.000973944	-18.846	-0.0252992	0.00227357	0.0254022	174.858	8.1778e-05	0.000553373	0.000559334	81.588	-2.154402e-11
4.705	59			0.000918869	-0.000312807	0.000970606	-18.798	-0.0252992	0.00226976	0.0254022	174.864	7.67712e-05	0.00055385	0.000559095	82.086	-2.20047e-11
4.7	60			0.000918631	-0.000313165	0.000970606	-18.816	-0.0252992	0.00226213	0.0253984	174.888	7.58176e-05	0.000552896	0.000558142	82.194	-2.238165e-11
4.695	61			0.000913505	-0.000311138	0.000965122	-18.804	-0.0252992	0.0022545	0.0253946	174.9	7.55792e-05	0.000553612	0.000558618	82.218	-2.137646e-11
4.69	62			0.000908617	-0.0003109	0.000960354	-18.888	-0.0252992	0.00224687	0.0253946	174.918	7.12876e-05	0.000552181	0.00055695	82.626	-2.233976e-11
4.685	63			0.000902656	-0.000309231	0.000954036	-18.906	-0.0252954	0.00224306	0.0253907	174.93	6.84266e-05	0.000551466	0.000555757	82.908	-2.041322e-11
4.68	64			0.00089312	-0.000308873	0.000944976	-19.074	-0.0252954	0.00223161	0.0253907	174.954	6.79498e-05	0.000549082	0.000553135	82.944	-1.836098e-11
4.675	65			0.000880484	-0.000308158	0.000932816	-19.284	-0.0252916	0.00222398	0.0253831	174.966	6.96187e-05	0.000548605	0.000552896	82.764	-2.091578e-11
4.67	66			0.000868324	-0.000306012	0.000920657	-19.41	-0.0252877	0.00221635	0.0253793	174.99	6.84266e-05	0.000549797	0.000554089	82.884	-2.25492e-11
4.665	67			0.000861529	-0.000304343	0.000913624	-19.452	-0.0252839	0.00220872	0.0253755	175.002	6.79498e-05	0.000549559	0.000553612	82.932	-1.852851e-11
4.66	68			0.000847105	-0.000302913	0.000899676	-19.668	-0.0252801	0.0022011	0.0253755	175.02	6.65192e-05	0.00054932	0.000553373	83.082	-2.221414e-11
4.655	69			0.000832681	-0.000301482	0.00088549	-19.896	-0.0252801	0.00218965	0.0253717	175.038	7.00955e-05	0.000545744	0.000550274	82.656	-2.171155e-11
4.65	70			0.000813846	-0.000299575	0.000867132	-20.202	-0.0252725	0.00218584	0.025364	175.056	6.69961e-05	0.000544075	0.000548128	82.962	-1.978497e-11
