variable x	variable x count			lockin1 x	lockin1 y	lockin1 r	lockin1 phi	lockin2 x	lockin2 y	lockin2 r	lockin2 phi	lockin3 x	lockin3 y	lockin3 r	lockin3 phi	smu1 meas	


0.0	0			2.26201e-05	-3.50179e-07	2.26201e-05	-0.876	-5.00403e-06	-5.42033e-07	5.03196e-06	-173.82	2.24338e-05	3.79981e-07	2.24338e-05	0.99	-1.945004e-11
0.0025	1			2.39835e-05	-1.26661e-06	2.40133e-05	-3.006	-1.50195e-05	9.63926e-07	1.50493e-05	176.328	2.42369e-05	9.08974e-07	2.42518e-05	2.16	-1.609951e-11
0.005	2			2.57121e-05	8.19568e-08	2.57121e-05	0.192	-2.85079e-05	9.44365e-07	2.85209e-05	178.104	2.52799e-05	1.32621e-06	2.53172e-05	3.0	-2.502033e-11
0.0075	3			2.69861e-05	-1.1623e-06	2.70159e-05	-2.46	-3.69663e-05	1.13622e-07	3.69644e-05	179.82	2.52874e-05	1.18465e-06	2.53172e-05	2.688	-2.09997e-11
0.01	4			2.91393e-05	-1.78815e-06	2.91915e-05	-3.51	-4.86749e-05	1.13622e-06	4.86861e-05	178.662	2.8655e-05	1.31131e-06	2.86849e-05	2.622	-1.86962e-11
0.0125	5			2.99813e-05	-1.69129e-06	3.0026e-05	-3.222	-6.02009e-05	1.62423e-06	6.02196e-05	178.452	2.89605e-05	1.1474e-06	2.89829e-05	2.28	-1.806796e-11
0.015	6			3.09872e-05	-1.72854e-06	3.10319e-05	-3.186	-6.86762e-05	2.32832e-06	6.87134e-05	178.056	3.04432e-05	1.86265e-06	3.05028e-05	3.51	-2.012017e-11
0.0175	7			3.28349e-05	-2.15323e-06	3.29094e-05	-3.738	-7.84029e-05	3.88551e-06	7.84961e-05	177.162	3.18291e-05	2.40655e-06	3.19185e-05	4.326	-1.676963e-11
0.02	8			3.33639e-05	-1.98187e-06	3.34235e-05	-3.396	-8.83122e-05	3.54649e-06	8.83793e-05	177.702	3.28498e-05	2.19049e-06	3.29243e-05	3.822	-1.886372e-11
0.0225	9			3.35875e-05	-1.71364e-06	3.36247e-05	-2.91	-9.74839e-05	4.36607e-06	9.75807e-05	177.432	3.42804e-05	1.45287e-06	3.43176e-05	2.436	-1.991072e-11
0.025	10			3.44443e-05	-2.3991e-06	3.45188e-05	-3.972	-0.000106715	4.51508e-06	0.000106797	177.576	3.66794e-05	1.95952e-06	3.67316e-05	3.06	-1.450799e-11
0.0275	11			3.53979e-05	-2.60027e-06	3.54873e-05	-4.2	-0.000119552	4.84291e-06	0.000119642	177.678	3.85346e-05	1.83285e-06	3.85793e-05	2.736	-2.388952e-11
0.03	12			3.52862e-05	-2.30969e-06	3.53607e-05	-3.738	-0.000127153	5.17073e-06	0.000127249	177.672	4.03153e-05	1.68384e-06	4.03451e-05	2.394	-1.764911e-11
0.0325	13			3.56513e-05	-2.45126e-06	3.57407e-05	-3.924	-0.000136771	6.19891e-06	0.000136905	177.402	4.28187e-05	1.53483e-06	4.28485e-05	2.058	-2.271684e-11
0.035	14			3.68136e-05	-2.19049e-06	3.68806e-05	-3.402	-0.000147604	6.10951e-06	0.000147724	177.63	4.59554e-05	1.93717e-06	4.59927e-05	2.418	-1.852866e-11
0.0375	15			3.80429e-05	-2.55556e-06	3.81249e-05	-3.84	-0.000156083	6.31812e-06	0.000156202	177.684	4.84514e-05	1.36346e-06	4.84737e-05	1.614	-1.517812e-11
0.04	16			3.79237e-05	-3.23357e-06	3.80578e-05	-4.866	-0.000166447	7.55492e-06	0.000166611	177.402	5.09622e-05	1.46032e-06	5.09846e-05	1.65	-1.970132e-11
0.0425	17			3.78566e-05	-3.30807e-06	3.79982e-05	-4.992	-0.000176759	7.70396e-06	0.000176915	177.504	5.43895e-05	2.08618e-06	5.44267e-05	2.196	-2.246552e-11
0.045	18			3.8408e-05	-3.76256e-06	3.85942e-05	-5.592	-0.000187726	8.01688e-06	0.000187875	177.552	5.75113e-05	1.78815e-06	5.75411e-05	1.788	-1.961755e-11
0.0475	19			3.92275e-05	-2.54811e-06	3.93095e-05	-3.714	-0.000197263	8.55332e-06	0.000197412	177.51	5.97017e-05	1.1474e-06	5.97166e-05	1.104	-2.192116e-11
0.05	20			3.97938e-05	-3.23357e-06	3.99279e-05	-4.644	-0.000207991	9.507e-06	0.00020817	177.378	6.2712e-05	1.59443e-06	6.27344e-05	1.464	-1.88219e-11
0.0525	21			3.92946e-05	-2.9579e-06	3.94064e-05	-4.296	-0.000217409	9.17917e-06	0.000217558	177.576	6.59903e-05	1.84775e-06	6.60126e-05	1.608	-1.848681e-11
0.055	22			3.97714e-05	-3.47944e-06	3.99279e-05	-4.992	-0.000227273	8.97056e-06	0.000227452	177.732	6.94622e-05	1.84775e-06	6.94846e-05	1.53	-1.693716e-11
0.0575	23			3.99577e-05	-3.99354e-06	4.01514e-05	-5.706	-0.000237049	1.12951e-05	0.000237257	177.264	7.34632e-05	9.08974e-07	7.34706e-05	0.714	-1.702092e-11
0.06	24			4.05612e-05	-3.0026e-06	4.0673e-05	-4.23	-0.000248553	1.11759e-05	0.000248762	177.42	7.6354e-05	1.63914e-06	7.63764e-05	1.23	-2.104157e-11
0.0625	25			4.08667e-05	-4.02334e-06	4.10678e-05	-5.616	-0.000257881	1.11461e-05	0.00025809	177.522	7.99899e-05	1.30386e-06	7.99973e-05	0.936	-2.200484e-11
0.065	26			4.16713e-05	-3.6806e-06	4.18278e-05	-5.04	-0.000267835	1.23978e-05	0.000268104	177.348	8.27988e-05	1.8105e-06	8.28211e-05	1.254	-2.079028e-11
0.0675	27			4.30124e-05	-3.38258e-06	4.31465e-05	-4.494	-0.000277879	1.30535e-05	0.000278147	177.306	8.55108e-05	8.86623e-07	8.55182e-05	0.594	-2.250744e-11
0.07	28			4.3072e-05	-4.00099e-06	4.32583e-05	-5.304	-0.000287356	1.26064e-05	0.000287624	177.486	8.91765e-05	9.76033e-07	8.91839e-05	0.63	-2.129285e-11
0.0725	29			4.26995e-05	-3.36768e-06	4.28336e-05	-4.506	-0.000296893	1.33813e-05	0.000297161	177.42	9.30731e-05	9.6858e-08	9.30731e-05	0.06	-2.112534e-11
0.075	30			4.51284e-05	-4.7088e-06	4.53743e-05	-5.952	-0.000308068	1.36793e-05	0.000308337	177.456	9.70145e-05	9.01524e-07	9.70219e-05	0.534	-2.032959e-11
0.0775	31			4.39363e-05	-4.31392e-06	4.41449e-05	-5.604	-0.000316771	1.39475e-05	0.000317039	177.474	0.000100792	5.81149e-07	0.000100792	0.33	-1.81098e-11
0.08	32			4.46814e-05	-4.96957e-06	4.4957e-05	-6.342	-0.000326457	1.52589e-05	0.000326755	177.324	0.000102662	1.2368e-06	0.000102662	0.69	-1.643454e-11
0.0825	33			4.53817e-05	-5.22289e-06	4.56797e-05	-6.564	-0.000337394	1.61232e-05	0.000337752	177.264	0.000106536	1.32621e-06	0.000106544	0.72	-1.928255e-11
0.085	34			4.70656e-05	-3.77746e-06	4.7222e-05	-4.584	-0.00034708	1.58251e-05	0.000347437	177.384	0.000110254	1.19955e-06	0.000110262	0.624	-1.986885e-11
0.0875	35			4.7453e-05	-5.08133e-06	4.77287e-05	-6.108	-0.000357391	1.59444e-05	0.000357719	177.444	0.000115075	1.24425e-06	0.000115082	0.624	-1.928254e-11
0.09	36			4.59703e-05	-5.17073e-06	4.62534e-05	-6.414	-0.000367345	1.6451e-05	0.000367703	177.432	0.000118345	1.10269e-06	0.000118353	0.534	-1.810984e-11
0.0925	37			4.54637e-05	-4.98447e-06	4.57319e-05	-6.252	-0.000377001	1.77325e-05	0.000377389	177.306	0.000121534	1.69129e-06	0.000121549	0.798	-2.112534e-11
0.095	38			4.80043e-05	-4.82801e-06	4.82502e-05	-5.742	-0.000388058	1.77027e-05	0.000388416	177.384	0.000126363	9.68583e-07	0.00012637	0.438	-2.032961e-11
0.0975	39			4.80565e-05	-3.94884e-06	4.82129e-05	-4.692	-0.00039673	1.83583e-05	0.000397118	177.348	0.000130692	4.91742e-07	0.000130692	0.216	-2.380579e-11
0.1	40			4.92039e-05	-5.03662e-06	4.94646e-05	-5.838	-0.000407221	1.85968e-05	0.000407638	177.384	0.00013581	9.90934e-07	0.000135818	0.42	-1.794232e-11
0.1025	41			4.97776e-05	-5.05152e-06	5.00309e-05	-5.79	-0.000417801	1.98187e-05	0.000418248	177.282	0.000138522	7.2271e-07	0.000138522	0.3	-1.63927e-11
0.105	42			4.77212e-05	-5.32719e-06	4.80118e-05	-6.366	-0.000426115	1.99379e-05	0.000426533	177.318	0.000139804	1.1474e-06	0.000139811	0.474	-1.857055e-11
